image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,5,0.908339,truck,bus,False
drive_022,2,3,0.878963,car,car,True
drive_022,3,1,0.851133,car,car,True
drive_022,4,2,0.925008,bus,van,False
drive_022,5,4,0.867135,car,car,True
drive_033,2,10,0.823523,car,car,True
drive_033,3,8,0.880313,car,car,True
drive_033,4,12,0.918121,bus,van,False
drive_033,5,11,0.892303,car,car,True
drive_033,6,1,0.989484,bus,van,False
drive_033,8,5,0.964613,car,car,True
drive_033,9,7,0.847633,car,car,True
drive_033,10,6,0.726016,car,car,True
drive_033,12,3,0.892364,car,car,True
drive_033,14,9,0.859056,car,car,True
drive_033,17,4,0.812488,car,car,True
drive_033,18,2,0.857219,truck,bus,False
drive_038,1,9,0.928761,truck,bus,False
drive_038,2,16,0.81857,car,car,True
drive_038,3,17,0.920127,car,car,True
drive_038,7,12,0.857557,car,car,True
drive_038,8,11,0.882798,car,car,True
drive_038,9,15,0.909397,van,truck,False
drive_038,11,4,0.89808,car,car,True
drive_038,17,2,0.938417,car,car,True
drive_038,18,5,0.905685,truck,bus,False
drive_038,21,1,0.951279,car,car,True
drive_038,22,3,0.945816,car,car,True
drive_038,26,6,0.899164,car,car,True
drive_038,27,7,0.935016,car,car,True
drive_038,28,13,0.864627,car,car,True
drive_038,29,14,0.765231,car,car,True
drive_038,30,10,0.895833,car,car,True
drive_038,31,8,0.869366,car,car,True
drive_008,1,3,0.936155,van,truck,False
drive_008,2,6,0.929887,car,car,True
drive_008,3,1,0.896731,truck,bus,False
drive_008,4,4,0.882935,car,car,True
drive_008,5,12,0.898407,van,truck,False
drive_008,6,9,0.978584,bus,van,False
drive_008,7,11,0.924956,car,car,True
drive_008,9,7,0.852144,car,car,True
drive_008,10,14,0.852002,car,car,True
drive_008,11,15,0.167552,car,car,True
drive_008,16,5,0.881929,van,truck,False
drive_008,17,2,0.924312,car,car,True
drive_008,18,16,0.936203,car,car,True
drive_008,19,13,0.612283,car,car,True
